region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,is_complete,completion_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
msk,"Москва, 1-й Красногвардейский проезд, 22с1",82400000,121.0,15.0,98.0,3,35,68,2020,empty,empty,monolith,underground,empty,empty,37.533742,55.751138,4,2,"Тестовская,Международная,Деловой центр","2,5,6","walk,walk,walk","Пресненский,ЦАО",1,1
msk,"Россия, Москва, Москва, Шмитовский проезд, 16с2",86000000,160.0,empty,empty,4,12,22,2007,empty,empty,monolith,underground,empty,empty,37.546974,55.758114,1,1,"Деловой центр,Улица 1905 года,Выставочная","3,3,4","transport,transport,transport","Пресненский,ЦАО",0,1
msk,"Москва, Москва, Серебрянический пер, 8",99500000,87.0,10.0,empty,3,5,8,2021,empty,empty,monolith,empty,empty,0,37.647073,55.750185,1,0,Китай-город,11,walk,"Таганский,ЦАО",1,1
msk,"Москва, 1-й Красногвардейский проезд, 15",99000000,123.0,15.0,69.0,1,51,75,empty,empty,empty,monolith,underground,empty,empty,37.539401,55.75052,empty,empty,"Деловой центр,Выставочная","3,5","walk,walk","Пресненский,ЦАО",1,1
msk,"Москва, Никитская М. ул., 10",99990000,117.6,10.0,78.0,4,3,7,1910,empty,empty,brick,underground,empty,empty,37.594881,55.75823,1,1,"Арбатская,Тверская,Пушкинская","13,13,14","walk,walk,walk","Пресненский,ЦАО",empty,1
msk,"Москва, Мосфильмовская улица, 8",100000000,130.0,empty,empty,4,22,53,2012,empty,empty,monolith,underground,empty,empty,37.527256,55.723587,3,1,"Ломоносовский проспект,Тестовская,Киевская","4,5,6","transport,transport,transport","Раменки,ЗАО",0,1
msk,"Москва, Генерала Дорохова, 39Е, корп. 1",102000000,136.9,9.0,79.0,5,8,14,2023,empty,empty,monolith,underground,empty,0,37.498186,55.717173,1,0,"Минская,Ломоносовский проспект,Раменки","6,6,8","transport,transport,transport","Раменки,ЗАО",empty,1
msk,"Москва, Чапаевский переулок, 3",110000000,156.0,18.0,89.0,4,49,57,empty,empty,empty,brick,underground,empty,empty,37.520671,55.79848,2,empty,Аэропорт,10,walk,"Хорошевский,САО",0,1
msk,"Москва, 2-я Звенигородская улица, 12к8",120000000,117.0,empty,16.0,3,5,21,2023,empty,empty,empty,underground,empty,4,37.555481,55.762804,empty,empty,"Улица 1905 года,Краснопресненская,Беговая","7,18,5","walk,walk,transport","Пресненский,ЦАО",0,1
msk,"Москва, Мосфильмовская улица, 8",128617999,165.0,18.0,empty,4,40,53,2011,empty,empty,monolith,multilevel,empty,empty,37.527256,55.723587,15,empty,"Парк Победы,Минская,Ломоносовский проспект","18,4,4","walk,transport,transport","Раменки,ЗАО",empty,1
