region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,is_complete,completion_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
kzn,"Россия, Татарстан, Казань, Советский, ул. Сабира Ахтямова, 1",10800000,57.4,9.5,32.1,2,15,18,2018,empty,empty,monolithBrick,empty,empty,empty,49.217437,55.788044,empty,empty,,,,Советский,empty,0
kzn,"Республика Татарстан, Казань, улица Аделя Кутуя",14600000,80.86,13.0,47.7,3,17,19,empty,0,2025,monolithBrick,empty,empty,empty,49.1862272408723,55.7778054230159,3,3,"Аметьево,Горки,Суконная слобода","3,3,4","transport,transport,transport",Советский,0,0
kzn,"Татарстан Респ., Казань г., Советский, Азата Аббасова ул., д.10",10390000,54.5,12.5,24.3,2,9,10,empty,empty,empty,brick,empty,empty,0,49.247566,55.792321,1,empty,,,,Советский,empty,0
kzn,"Бирюзовая улица, 1, Казань, Республика Татарстан",8245100,74.1,empty,37.8,3,13,24,empty,0,2025,monolith,empty,empty,empty,48.894789,55.81957,empty,empty,,,,"Юдино,Кировский",0,0
kzn,"Россия, Татарстан, Казань, Советский, ул. Аделя Кутуя, 86",11900000,65.9,14.1,32.3,2,5,20,empty,empty,empty,monolithBrick,empty,empty,empty,49.18820162553198,55.78122323704548,empty,empty,"Аметьево,Горки,Суконная слобода","3,4,4","transport,transport,transport",Советский,empty,0
kzn,"Республика Татарстан, Казань, улица Азата Аббасова",7600000,34.23,9.4,12.1,1,5,10,empty,0,2025,monolith,empty,empty,empty,49.250436086615544,55.7877395470497,15,empty,"Горки,Проспект Победы,Дубравная","7,7,8","transport,transport,transport",Советский,0,0
kzn,"Республика Татарстан, Казань, улица Нариманова",24158000,102.8,empty,40.4,3,4,4,empty,0,2025,empty,empty,empty,empty,49.1086696236945,55.7805101895533,empty,2,"Площадь Тукая,Кремлёвская,Суконная слобода","18,3,3","walk,transport,transport","Татарская слобода,Вахитовский",0,0
kzn,"Россия, Татарстан, Казань, Советский, ул. Стадионная, 1",7250000,34.5,6.3,19.4,1,7,20,2023,empty,empty,monolithBrick,empty,empty,1,49.231343,55.870587,empty,empty,,,,"Дербышки,Советский",empty,0
kzn,"Республика Татарстан, Казань, улица Мансура Хасанова, 13",8770000,42.92,11.9,15.5,1,6,19,empty,0,2023,monolithBrick,empty,empty,empty,49.183696,55.779378,3,9,"Аметьево,Горки,Суконная слобода","3,3,4","transport,transport,transport",Советский,0,0
kzn,"Татарстан Респ., Казань г., Советский, Николая Ершова ул., д.66Б",9300000,38.41,12.1,12.3,1,5,20,empty,empty,empty,monolithBrick,empty,empty,0,49.18136,55.799052,2,empty,,,,"Октябрьский городок,Советский",empty,0
